T0;T1;T2;T3;I0;I1;I2;I3;M0;M1;M2;M3;R0;R1;R2;R3;P0;P1;P2;P3;thumbDistance;indexDistance;middleDistance;ringDistance;pinkyDistance;distance1;distance2;pose
0,6805339;-0,5328379;-0,1480967;-0,4806508;0,1510116;0,5410857;0,1702506;-0,8095902;0,1771127;0,5811504;0,09571058;-0,7885016;0,05701;0,5775625;0,01821944;-0,8141496;-0,02566436;0,5653017;-0,01886448;-0,8242694;0,08900361;0,04691142;0,03697167;0,03256093;0,03273191;0,05622764;0,06794988;stop
0,6810226;-0,5335552;-0,1490851;-0,4788537;0,1517764;0,5395444;0,1686344;-0,8108133;0,1775382;0,5796047;0,09420481;-0,7897241;0,05760907;0,575649;0,01645195;-0,815499;-0,02482426;0,5632305;-0,02079791;-0,8256651;0,08902428;0,04692994;0,03697041;0,0325662;0,03273483;0,0562813;0,06794846;stop
0,6814208;-0,5342765;-0,1500538;-0,4771775;0,1524669;0,5380538;0,1671755;-0,8119755;0,177905;0,5781144;0,09286141;-0,7908922;0,05815016;0,5738128;0,01484078;-0,8167849;-0,02405028;0,5612471;-0,02256852;-0,826991;0,08904469;0,04694742;0,03696843;0,03257104;0,03273811;0,05633416;0,06794839;stop
0,6827362;-0,5340781;-0,1531998;-0,4745126;0,1516749;0,536365;0,1645326;-0,8137789;0,1769024;0,5763832;0,09038901;-0,7926649;0,05722926;0,5715697;0,01215547;-0,818465;-0,02468835;0,5586501;-0,0255084;-0,8286434;0,08905745;0,04695557;0,03694826;0,03256935;0,03276278;0,05634454;0,06796885;stop
0,6838979;-0,5339663;-0,1561277;-0,4720042;0,1510119;0,5347145;0,162059;-0,8154832;0,1759967;0,5747045;0,08814245;-0,7943368;0,05641413;0,5694126;0,009685755;-0,8200569;-0,02522837;0,5561654;-0,02822512;-0,830209;0,08906976;0,04696195;0,03692794;0,03256676;0,03278489;0,0563577;0,067989;stop
0,6852052;-0,5339106;-0,159402;-0,4690677;0,1507234;0,5324156;0,1588329;-0,8176725;0,1751516;0,572543;0,08515587;-0,7964075;0,05543569;0,5667641;0,006600142;-0,8219866;-0,02609731;0,5531591;-0,03119373;-0,8320826;0,0890772;0,0469767;0,03693213;0,03258085;0,03279511;0,0563638;0,06798387;stop
0,6864046;-0,5338938;-0,1625122;-0,4662573;0,1505298;0,5301636;0,1556969;-0,8197718;0,1743557;0,5704439;0,08234662;-0,7983817;0,05451641;0,564203;0,003673375;-0,8238264;-0,02690439;0,5502578;-0,03400698;-0,8338683;0,08908405;0,04698998;0,03693675;0,03259641;0,03280442;0,05636988;0,06797788;stop
0,6875118;-0,5339071;-0,1654739;-0,4635614;0,1504048;0,5279641;0,1526594;-0,8217834;0,1736038;0,5684055;0,07969511;-0,8002661;0,05364995;0,5617254;0,0008902252;-0,8255821;-0,02765746;0,5474566;-0,03668046;-0,8355725;0,08909156;0,04700167;0,0369416;0,0326106;0,03281264;0,0563785;0,06797247;stop
0,6885531;-0,5339425;-0,1683389;-0,460936;0,1503287;0,5257912;0,1496844;-0,8237351;0,1728827;0,5664005;0,07714978;-0,802091;0,05281939;0,5592963;-0,001797527;-0,8272815;-0,02837278;0,5447145;-0,03926167;-0,8372216;0,0890996;0,04701337;0,03694769;0,03262595;0,03282205;0,05638635;0,06796627;stop
0,6896878;-0,5347641;-0,1705302;-0,4574692;0,1512469;0,5246021;0,1463321;-0,8249267;0,1732159;0,5652443;0,0741452;-0,8031175;0,05334365;0,557512;-0,004829735;-0,8284392;-0,02762535;0,5426633;-0,04275781;-0,8384066;0,08916194;0,04701891;0,03694675;0,03262729;0,03284434;0,0563882;0,0680443;stop
